"cty","Name","Individual_Income_Excluding_Spouse_rB_gM_p25"
"cty55109","St. Croix County, WI",45252
"cty36019","Clinton County, NY",40632
"cty21137","Lincoln County, KY",40452
"cty29161","Phelps County, MO",38267
"cty48475","Ward County, TX",38102
"cty42097","Northumberland County, PA",35792
"cty48219","Hockley County, TX",35308
"cty51139","Page County, VA",34864
"cty51600","Fairfax city, VA",34809
"cty32001","Churchill County, NV",34344
"cty49049","Utah County, UT",34218
"cty48091","Comal County, TX",34120
"cty36009","Cattaraugus County, NY",33887
"cty48497","Wise County, TX",33824
"cty35015","Eddy County, NM",33567
"cty30063","Missoula County, MT",33490
"cty23001","Androscoggin County, ME",33339
"cty41019","Douglas County, OR",32960
"cty41003","Benton County, OR",32750
"cty06109","Tuolumne County, CA",32427
"cty32510","Carson City, NV",32264
"cty19179","Wapello County, IA",32202
"cty53041","Lewis County, WA",31943
"cty41035","Klamath County, OR",31704
"cty05007","Benton County, AR",31676
"cty53015","Cowlitz County, WA",31546
"cty51097","King and Queen County, VA",31497
"cty48285","Lavaca County, TX",31066
"cty09013","Tolland County, CT",30956
"cty38035","Grand Forks County, ND",30832
"cty48391","Refugio County, TX",30644
"cty51165","Rockingham County, VA",30624
"cty48353","Nolan County, TX",30403
"cty48071","Chambers County, TX",30310
"cty33009","Grafton County, NH",30140
"cty16039","Elmore County, ID",30077
"cty47105","Loudon County, TN",30059
"cty21219","Todd County, KY",29965
"cty22123","West Carroll Parish, LA",29924
"cty27013","Blue Earth County, MN",29607
"cty48149","Fayette County, TX",29569
"cty33013","Merrimack County, NH",29522
"cty48025","Bee County, TX",29514
"cty27105","Nobles County, MN",29450
"cty08014","Broomfield County, CO",29403
"cty13309","Wheeler County, GA",29351
"cty53057","Skagit County, WA",29272
"cty19169","Story County, IA",29270
"cty01129","Washington County, AL",29226
"cty36099","Seneca County, NY",29123
"cty13201","Miller County, GA",28988
"cty08077","Mesa County, CO",28886
"cty25021","Norfolk County, MA",28804
"cty25015","Hampshire County, MA",28707
"cty06061","Placer County, CA",28691
"cty36025","Delaware County, NY",28689
"cty22093","St. James Parish, LA",28669
"cty01029","Cleburne County, AL",28577
"cty51119","Middlesex County, VA",28524
"cty48455","Trinity County, TX",28498
"cty51187","Warren County, VA",28484
"cty01025","Clarke County, AL",28405
"cty55035","Eau Claire County, WI",28391
"cty26055","Grand Traverse County, MI",28388
"cty39029","Columbiana County, OH",28373
"cty51171","Shenandoah County, VA",28373
"cty39067","Harrison County, OH",28353
"cty38017","Cass County, ND",28320
"cty36043","Herkimer County, NY",28311
"cty35005","Chaves County, NM",28236
"cty44009","Washington County, RI",28024
"cty25017","Middlesex County, MA",27965
"cty18041","Fayette County, IN",27951
"cty13047","Catoosa County, GA",27929
"cty08123","Weld County, CO",27842
"cty28111","Perry County, MS",27807
"cty20175","Seward County, KS",27768
"cty22089","St. Charles Parish, LA",27634
"cty48403","Sabine County, TX",27617
"cty21173","Montgomery County, KY",27609
"cty22047","Iberville Parish, LA",27604
"cty48315","Marion County, TX",27588
"cty06033","Lake County, CA",27565
"cty39123","Ottawa County, OH",27546
"cty39055","Geauga County, OH",27525
"cty08059","Jefferson County, CO",27442
"cty53067","Thurston County, WA",27416
"cty42005","Armstrong County, PA",27376
"cty05133","Sevier County, AR",27370
"cty39041","Delaware County, OH",27331
"cty51127","New Kent County, VA",27318
"cty48367","Parker County, TX",27315
"cty08069","Larimer County, CO",27299
"cty51059","Fairfax County, VA",27207
"cty22005","Ascension Parish, LA",27191
"cty48135","Ector County, TX",27144
"cty02170","Matanuska-Susitna Borough, AK",27123
"cty48253","Jones County, TX",27069
"cty51141","Patrick County, VA",27036
"cty13137","Habersham County, GA",26983
"cty05081","Little River County, AR",26983
"cty24031","Montgomery County, MD",26894
"cty36039","Greene County, NY",26885
"cty28037","Franklin County, MS",26878
"cty22075","Plaquemines Parish, LA",26846
"cty48239","Jackson County, TX",26805
"cty01099","Monroe County, AL",26750
"cty40145","Wagoner County, OK",26737
"cty44003","Kent County, RI",26711
"cty51101","King William County, VA",26710
"cty48123","DeWitt County, TX",26660
"cty28125","Sharkey County, MS",26644
"cty13003","Atkinson County, GA",26634
"cty48039","Brazoria County, TX",26623
"cty42019","Butler County, PA",26544
"cty40027","Cleveland County, OK",26543
"cty21015","Boone County, KY",26540
"cty22097","St. Landry Parish, LA",26537
"cty06055","Napa County, CA",26493
"cty28063","Jefferson County, MS",26415
"cty29165","Platte County, MO",26395
"cty01027","Clay County, AL",26390
"cty51610","Falls Church city, VA",26383
"cty28061","Jasper County, MS",26379
"cty06087","Santa Cruz County, CA",26363
"cty05099","Nevada County, AR",26361
"cty48415","Scurry County, TX",26344
"cty55073","Marathon County, WI",26337
"cty39045","Fairfield County, OH",26317
"cty01079","Lawrence County, AL",26316
"cty48321","Matagorda County, TX",26315
"cty53005","Benton County, WA",26270
"cty36087","Rockland County, NY",26269
"cty48373","Polk County, TX",26256
"cty36089","St. Lawrence County, NY",26248
"cty45017","Calhoun County, SC",26248
"cty08013","Boulder County, CO",26246
"cty48365","Panola County, TX",26218
"cty39167","Washington County, OH",26185
"cty23019","Penobscot County, ME",26107
"cty48179","Gray County, TX",26102
"cty22099","St. Martin Parish, LA",26064
"cty48329","Midland County, TX",26023
"cty36113","Warren County, NY",26021
"cty22007","Assumption Parish, LA",25998
"cty51678","Lexington city, VA",25993
"cty40015","Caddo County, OK",25970
"cty15001","Hawaii County, HI",25908
"cty36051","Livingston County, NY",25908
"cty17027","Clinton County, IL",25867
"cty48067","Cass County, TX",25840
"cty24027","Howard County, MD",25838
"cty29101","Johnson County, MO",25833
"cty36077","Otsego County, NY",25832
"cty01041","Crenshaw County, AL",25816
"cty54061","Monongalia County, WV",25815
"cty39069","Henry County, OH",25803
"cty13177","Lee County, GA",25791
"cty18145","Shelby County, IN",25776
"cty22059","LaSalle Parish, LA",25747
"cty28079","Leake County, MS",25710
"cty45001","Abbeville County, SC",25710
"cty40017","Canadian County, OK",25685
"cty19103","Johnson County, IA",25670
"cty51125","Nelson County, VA",25664
"cty29145","Newton County, MO",25648
"cty49045","Tooele County, UT",25600
"cty48499","Wood County, TX",25589
"cty17111","McHenry County, IL",25588
"cty28077","Lawrence County, MS",25584
"cty48363","Palo Pinto County, TX",25571
"cty38101","Ward County, ND",25565
"cty28041","Greene County, MS",25529
"cty06089","Shasta County, CA",25473
"cty05095","Monroe County, AR",25470
"cty42075","Lebanon County, PA",25426
"cty22037","East Feliciana Parish, LA",25402
"cty36073","Orleans County, NY",25361
"cty28157","Wilkinson County, MS",25357
"cty20055","Finney County, KS",25357
"cty42063","Indiana County, PA",25350
"cty23023","Sagadahoc County, ME",25298
"cty51057","Essex County, VA",25294
"cty28039","George County, MS",25294
"cty05115","Pope County, AR",25264
"cty20091","Johnson County, KS",25255
"cty08101","Pueblo County, CO",25236
"cty40009","Beckham County, OK",25231
"cty19033","Cerro Gordo County, IA",25216
"cty22039","Evangeline Parish, LA",25216
"cty34037","Sussex County, NJ",25200
"cty29195","Saline County, MO",25176
"cty22081","Red River Parish, LA",25160
"cty22095","St. John the Baptist Parish, LA",25151
"cty27003","Anoka County, MN",25125
"cty45065","McCormick County, SC",25125
"cty13231","Pike County, GA",25116
"cty21029","Bullitt County, KY",25100
"cty17141","Ogle County, IL",25088
"cty01091","Marengo County, AL",25058
"cty48215","Hidalgo County, TX",25032
"cty41005","Clackamas County, OR",25030
"cty39087","Lawrence County, OH",25030
"cty47073","Hawkins County, TN",25010
"cty31043","Dakota County, NE",25000
"cty01023","Choctaw County, AL",24997
"cty48449","Titus County, TX",24992
"cty22027","Claiborne Parish, LA",24990
"cty48401","Rusk County, TX",24988
"cty51107","Loudoun County, VA",24984
"cty37073","Gates County, NC",24969
"cty21163","Meade County, KY",24961
"cty22057","Lafourche Parish, LA",24957
"cty15003","Honolulu County, HI",24957
"cty56025","Natrona County, WY",24946
"cty48233","Hutchinson County, TX",24918
"cty26037","Clinton County, MI",24910
"cty51183","Sussex County, VA",24905
"cty27037","Dakota County, MN",24896
"cty22025","Catahoula Parish, LA",24896
"cty34027","Morris County, NJ",24888
"cty51175","Southampton County, VA",24850
"cty48405","San Augustine County, TX",24806
"cty28129","Smith County, MS",24758
"cty40113","Osage County, OK",24728
"cty04017","Navajo County, AZ",24713
"cty49011","Davis County, UT",24706
"cty48161","Freestone County, TX",24695
"cty39031","Coshocton County, OH",24692
"cty46099","Minnehaha County, SD",24690
"cty37111","McDowell County, NC",24656
"cty01107","Pickens County, AL",24653
"cty48291","Liberty County, TX",24640
"cty28073","Lamar County, MS",24638
"cty51159","Richmond County, VA",24635
"cty51193","Westmoreland County, VA",24611
"cty01131","Wilcox County, AL",24610
"cty05053","Grant County, AR",24601
"cty37177","Tyrrell County, NC",24598
"cty01119","Sumter County, AL",24578
"cty28019","Choctaw County, MS",24575
"cty27049","Goodhue County, MN",24569
"cty13011","Banks County, GA",24553
"cty01011","Bullock County, AL",24549
"cty13197","Marion County, GA",24547
"cty51133","Northumberland County, VA",24537
"cty25027","Worcester County, MA",24507
"cty18051","Gibson County, IN",24489
"cty02020","Anchorage Municipality, AK",24485
"cty27163","Washington County, MN",24470
"cty48063","Camp County, TX",24456
"cty28147","Walthall County, MS",24456
"cty51181","Surry County, VA",24448
"cty05025","Cleveland County, AR",24430
"cty56021","Laramie County, WY",24414
"cty40035","Craig County, OK",24397
"cty13183","Long County, GA",24384
"cty53071","Walla Walla County, WA",24380
"cty05033","Crawford County, AR",24379
"cty20005","Atchison County, KS",24369
"cty48469","Victoria County, TX",24368
"cty17005","Bond County, IL",24333
"cty22113","Vermilion Parish, LA",24328
"cty51023","Botetourt County, VA",24315
"cty21035","Calloway County, KY",24310
"cty36053","Madison County, NY",24303
"cty48287","Lee County, TX",24283
"cty34003","Bergen County, NJ",24277
"cty45071","Newberry County, SC",24274
"cty51007","Amelia County, VA",24227
"cty05061","Howard County, AR",24209
"cty48419","Shelby County, TX",24199
"cty27137","St. Louis County, MN",24194
"cty41067","Washington County, OR",24167
"cty13219","Oconee County, GA",24164
"cty37103","Jones County, NC",24162
"cty48289","Leon County, TX",24129
"cty36081","Queens County, NY",24113
"cty13263","Talbot County, GA",24101
"cty28153","Wayne County, MS",24092
"cty05019","Clark County, AR",24078
"cty18173","Warrick County, IN",24045
"cty01121","Talladega County, AL",24028
"cty13171","Lamar County, GA",24019
"cty13301","Warren County, GA",24019
"cty25009","Essex County, MA",24018
"cty48407","San Jacinto County, TX",24016
"cty01017","Chambers County, AL",24002
"cty06041","Marin County, CA",23998
"cty28131","Stone County, MS",23992
"cty51033","Caroline County, VA",23986
"cty22043","Grant Parish, LA",23975
"cty29097","Jasper County, MO",23946
"cty28005","Amite County, MS",23940
"cty51153","Prince William County, VA",23891
"cty20079","Harvey County, KS",23881
"cty40119","Payne County, OK",23857
"cty17095","Knox County, IL",23856
"cty33015","Rockingham County, NH",23850
"cty34023","Middlesex County, NJ",23829
"cty24009","Calvert County, MD",23824
"cty48397","Rockwall County, TX",23818
"cty45089","Williamsburg County, SC",23797
"cty47143","Rhea County, TN",23782
"cty51179","Stafford County, VA",23778
"cty48015","Austin County, TX",23770
"cty48409","San Patricio County, TX",23747
"cty08005","Arapahoe County, CO",23743
"cty48465","Val Verde County, TX",23736
"cty47051","Franklin County, TN",23726
"cty33011","Hillsborough County, NH",23721
"cty05037","Cross County, AR",23703
"cty25023","Plymouth County, MA",23697
"cty18029","Dearborn County, IN",23681
"cty36091","Saratoga County, NY",23681
"cty21229","Washington County, KY",23674
"cty48115","Dawson County, TX",23655
"cty51185","Tazewell County, VA",23648
"cty54069","Ohio County, WV",23646
"cty28139","Tippah County, MS",23645
"cty39077","Huron County, OH",23637
"cty22055","Lafayette Parish, LA",23629
"cty22019","Calcasieu Parish, LA",23629
