GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006
GIS Join Match Code,Data File Year,State Name,State Code,County Code,Area name,White,Free colored,Slave,Indian,Half breed,Asiatic
"G010","1860","Alabama","010",,"Alabama",526271,2690,435080,160,,
"G050","1860","Arkansas","050",,"Arkansas",324143,144,111115,48,,
"G060","1860","California","060",,"California",323177,4086,0,17798,,34933
"G085","1860","Colorado Territory","085",,"Colorado Territory",34231,46,0,0,,
"G090","1860","Connecticut","090",,"Connecticut",451504,8627,0,16,,
"G095","1860","Dakota Territory","095",,"Dakota Territory",2576,0,0,2261,,
"G100","1860","Delaware","100",,"Delaware",90589,19829,1798,0,,
"G110","1860","District Of Columbia","110",,"District of Columbia",60763,11131,3185,1,,
"G120","1860","Florida","120",,"Florida",77746,932,61745,1,,
"G130","1860","Georgia","130",,"Georgia",591550,3500,462198,38,,
"G170","1860","Illinois","170",,"Illinois",1704291,7628,0,32,,
"G180","1860","Indiana","180",,"Indiana",1338710,11428,0,290,,
"G190","1860","Iowa","190",,"Iowa",673779,1069,0,65,,
"G205","1860","Kansas Territory","205",,"Kansas Territory",106390,625,2,189,,
"G210","1860","Kentucky","210",,"Kentucky",919484,10684,225483,33,,
"G220","1860","Louisiana","220",,"Louisianna",357456,18647,331726,173,,
"G230","1860","Maine","230",,"Maine",626947,1327,0,5,,
"G240","1860","Maryland","240",,"Maryland",515918,83942,87189,0,,
"G250","1860","Massachusetts","250",,"Massachusetts",1221432,9602,0,32,,
"G260","1860","Michigan","260",,"Michigan",736142,6799,0,6172,,
"G270","1860","Minnesota","270",,"Minnesota",169395,259,0,2369,,
"G280","1860","Mississippi","280",,"Mississippi",353899,773,436631,2,,
"G290","1860","Missouri","290",,"Missouri",1063489,3572,114931,20,,
"G315","1860","Nebraska Territory","315",,"Nebraska Territory",28696,67,15,63,,
"G325","1860","Nevada Territory","325",,"Nevada Territory",6812,45,0,0,,
"G330","1860","New Hampshire","330",,"New Hampshire",325579,494,0,,,
"G340","1860","New Jersey","340",,"New Jersey",646699,25318,18,0,,
"G355","1860","New Mexico Territory","355",,"New Mexico Territory",82924,85,0,10452,55,
"G360","1860","New York","360",,"New York",3831590,49005,0,140,,
"G370","1860","North Carolina","370",,"North Carolina",629942,30463,331059,1158,,
"G390","1860","Ohio","390",,"Ohio",2302808,36673,0,30,,
"G410","1860","Oregon","410",,"Oregon",52160,128,0,177,,
"G420","1860","Pennsylvania","420",,"Pennsylvania",2849259,56949,0,7,,
"G440","1860","Rhode Island","440",,"Rhode Island",170649,3952,0,19,,
"G450","1860","South Carolina","450",,"South Carolina",291300,9914,402406,88,,
"G470","1860","Tennessee","470",,"Tennessee",826722,7300,275719,60,,
"G480","1860","Texas","480",,"Texas",420891,355,182566,403,,
"G495","1860","Utah Territory","495",,"Utah Territory",40125,30,29,89,,
"G500","1860","Vermont","500",,"Vermont",314369,709,0,20,,
"G510","1860","Virginia","510",,"Virginia",1047299,58042,490865,112,,
"G535","1860","Washington Territory","535",,"Washington Territory",11138,30,0,426,,
"G550","1860","Wisconsin","550",,"Wisconsin",773693,1171,0,613,404,
