GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AAQ001,AAQ002,AAQ003,AAI001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Non-White: Free,Non-White: Slave,White,Total
"G0900010","1790","Connecticut","90","Fairfield","10","Fairfield",318,799,35173,799
"G0900030","1790","Connecticut","90","Hartford","30","Hartford",395,256,37498,256
"G0900050","1790","Connecticut","90","Litchfield","50","Litchfield",313,203,38119,203
"G0900070","1790","Connecticut","90","Middlesex","70","Middlesex",144,192,18492,192
"G0900090","1790","Connecticut","90","New Haven","90","New Haven",434,387,29882,387
"G0900110","1790","Connecticut","90","New London","110","New London",732,581,31605,581
"G0900130","1790","Connecticut","90","Tolland","130","Tolland",94,46,13111,46
"G0900150","1790","Connecticut","90","Windham","150","Windham",341,184,28356,184
"G1000010","1790","Delaware","100","Kent","10","Kent",2570,2300,14050,2300
"G1000030","1790","Delaware","100","New Castle","30","New Castle",639,2562,16487,2562
"G1000050","1790","Delaware","100","Sussex","50","Sussex",690,4025,15773,4025
"G1300330","1790","Georgia","130","Burke","330","Burke",11,2392,7064,2392
"G1300390","1790","Georgia","130","Camden","390","Camden",14,70,221,70
"G1300510","1790","Georgia","130","Chatham","510","Chatham",112,8201,2456,8201
"G1301030","1790","Georgia","130","Effingham","1030","Effingham",0,750,1674,750
"G1301190","1790","Georgia","130","Franklin","1190","Franklin",0,156,885,156
"G1301270","1790","Georgia","130","Glynn","1270","Glynn",5,215,193,215
"G1301330","1790","Georgia","130","Greene","1330","Greene",8,1377,4020,1377
"G1301790","1790","Georgia","130","Liberty","1790","Liberty",27,4025,1303,4025
"G1302450","1790","Georgia","130","Richmond","2450","Richmond",39,4116,7162,4116
"G1303030","1790","Georgia","130","Washington","3030","Washington",2,694,3856,694
"G1303170","1790","Georgia","130","Wilkes","3170","Wilkes",180,7268,24052,7268
"G2400010","1790","Maryland","240","Allegany","10","Allegany",12,258,4539,258
"G2400030","1790","Maryland","240","Anne Arundel","30","Anne Arundel",804,10130,11664,10130
"G2400050","1790","Maryland","240","Baltimore","50","Baltimore",604,5877,18953,5877
"G2400090","1790","Maryland","240","Calvert","90","Calvert",136,4305,4211,4305
"G2400110","1790","Maryland","240","Caroline","110","Caroline",421,2057,7028,2057
"G2400150","1790","Maryland","240","Cecil","150","Cecil",163,3407,10055,3407
"G2400170","1790","Maryland","240","Charles","170","Charles",404,10085,10124,10085
"G2400190","1790","Maryland","240","Dorchester","190","Dorchester",528,5337,10010,5337
"G2400210","1790","Maryland","240","Frederick","210","Frederick",213,3641,26937,3641
"G2400250","1790","Maryland","240","Harford","250","Harford",775,3417,10784,3417
"G2400290","1790","Maryland","240","Kent","290","Kent",655,5433,6748,5433
"G2400310","1790","Maryland","240","Montgomery","310","Montgomery",294,6030,11679,6030
"G2400330","1790","Maryland","240","Prince Georges","330","Prince Georges",164,11176,10004,11176
"G2400350","1790","Maryland","240","Queen Anne's","350","Queen Anne's",618,6674,8171,6674
"G2400370","1790","Maryland","240","St Mary's","370","St Mary's",343,6985,8216,6985
"G2400390","1790","Maryland","240","Somerset","390","Somerset",268,7070,8272,7070
"G2400410","1790","Maryland","240","Talbot","410","Talbot",1076,4777,7231,4777
"G2400430","1790","Maryland","240","Washington","430","Washington",64,1286,14472,1286
"G2400470","1790","Maryland","240","Worcester","470","Worcester",178,3836,7626,3836
"G2405100","1790","Maryland","240","Baltimore City","5100","Baltimore City",323,1255,11925,1255
"G2500010","1790","Massachusetts","250","Barnstable","10","Barnstable",372,0,16970,0
"G2500030","1790","Massachusetts","250","Berkshire","30","Berkshire",323,0,29940,0
