GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AA1001,AA7001,AA7002
GIS Join Match Code,Data File Year,State Name,State Code,County Code,Area name,Total,Free,Slave
"G090","1810","Connecticut","090",,"Connecticut",262042,6453,310
"G100","1810","Delaware","100",,"Delaware",72674,13136,4177
"G110","1810","District Of Columbia","110",,"District of Columbia",24023,2549,5395
"G130","1810","Georgia","130",,"Georgia",252433,1801,105218
"G175","1810","Illinois Territory","175",,"Illinois Territory",12282,613,168
"G185","1810","Indiana Territory","185",,"Indiana Territory",24520,393,237
"G210","1810","Kentucky","210",,"Kentucky",406511,1713,80561
"G225","1810","Louisiana Territory","225",,"Louisiana Territory",20845,607,3011
"G240","1810","Maryland","240",,"Maryland",380546,33927,111502
"G250","1810","Massachusetts","250",,"Massachusetts",700745,7706,0
"G265","1810","Michigan Territory","265",,"Michigan Territory",4762,120,24
"G285","1810","Mississippi Territory","285",,"Mississippi Territory",40352,240,17088
"G330","1810","New Hampshire","330",,"New Hampshire",214360,970,0
"G340","1810","New Jersey","340",,"New Jersey",245555,7843,10851
"G360","1810","New York","360",,"New York",959049,25333,15017
"G370","1810","North Carolina","370",,"North Carolina",555500,10266,168824
"G390","1810","Ohio","390",,"Ohio",230760,1899,0
"G417","1810","Orleans Territory","417",,"Orleans Territory",76556,7585,34660
"G420","1810","Pennsylvania","420",,"Pennsylvania",810091,22492,795
"G440","1810","Rhode Island","440",,"Rhode Island",77031,3609,108
"G450","1810","South Carolina","450",,"South Carolina",415115,4554,196365
"G470","1810","Tennessee","470",,"Tennessee",261727,1317,44535
"G500","1810","Vermont","500",,"Vermont",217713,750,0
"G510","1810","Virginia","510",,"Virginia",974622,30570,392518
