GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ABX001,ABX002,ABX003,ABX004,ABX005,ABX006,ABX007,ABX008,ABX009,ABX010,ABX011,ABX012,ABX013,ABX014,ABX015,ABX016,ABX017,ABX018,ABX019,ABX020,ABX021,ABX022,ABX023,ABX024,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABQ001,ABQ002,ABS001,ABS002
GIS Join Match Code,Data File Year,State Name,State Code,County Code,Area name,Slave >> Male >> Under 10 years of age,Slave >> Male >> 10 to 23 years of age,Slave >> Male >> 24 to 35 years of age,Slave >> Male >> 36 to 54 years of age,Slave >> Male >> 55 to 99 years of age,Slave >> Male >> 100 years of age and over,Slave >> Female >> Under 10 years of age,Slave >> Female >> 10 to 23 years of age,Slave >> Female >> 24 to 35 years of age,Slave >> Female >> 36 to 54 years of age,Slave >> Female >> 55 to 99 years of age,Slave >> Female >> 100 years of age and over,Free >> Male >> Under 10 years of age,Free >> Male >> 10 to 23 years of age,Free >> Male >> 24 to 35 years of age,Free >> Male >> 36 to 54 years of age,Free >> Male >> 55 to 99 years of age,Free >> Male >> 100 years of age and over,Free >> Female >> Under 10 years of age,Free >> Female >> 10 to 23 years of age,Free >> Female >> 24 to 35 years of age,Free >> Female >> 36 to 54 years of age,Free >> Female >> 55 to 99 years of age,Free >> Female >> 100 years of age and over,White >> Male,White >> Female,Nonwhite: Slave >> Male,Nonwhite: Slave >> Female,Nonwhite: Free >> Male,Nonwhite: Free >> Female,Slave,Free,Male,Female
"G010","1830","Alabama","010",,"Alabama",21837,19553,11100,5158,1495,27,21386,19669,11088,4898,1312,26,275,202,187,124,56,0,245,209,131,84,56,3,100846,89560,59170,58379,844,728,117549,1572,60014,59107
"G055","1830","Arkansas Territory","055",,"Arkansas Territory",845,814,395,192,47,0,803,836,399,193,51,1,27,17,23,17,3,1,17,13,10,7,6,0,14195,11476,2293,2283,88,53,4576,141,2381,2336
"G090","1830","Connecticut","090",,"Connecticut",1,2,0,1,4,0,1,3,0,4,9,0,1019,1121,771,624,313,2,1051,1233,819,667,417,10,143047,146556,8,17,3850,4197,25,8047,3858,4214
"G100","1830","Delaware","100",,"Delaware",580,853,245,83,42,3,508,617,230,80,49,2,2627,2259,1303,1180,503,10,2524,2359,1446,1102,526,16,28845,28756,1806,1486,7882,7973,3292,15855,9688,9459
"G110","1830","District Of Columbia","110",,"District of Columbia",794,1024,542,375,114,3,816,1270,612,391,176,2,895,649,464,405,229,3,863,1033,682,564,358,7,13647,13916,2852,3267,2645,3507,6119,6152,5497,6774
"G125","1830","Florida Territory","125",,"Florida Territory",2501,2482,1830,948,224,0,2560,2449,1561,768,177,1,138,109,46,56,33,1,144,136,70,62,48,1,10236,8149,7985,7516,383,461,15501,844,8368,7977
"G130","1830","Georgia","130",,"Georgia",38367,34253,19440,12818,3847,92,38102,33917,20527,12325,3765,78,368,353,224,186,118,12,347,330,231,185,126,6,153288,143518,108817,108714,1261,1225,217531,2486,110078,109939
"G170","1830","Illinois","170",,"Illinois",98,118,76,47,6,2,144,128,61,52,12,3,277,251,136,119,40,1,305,225,125,106,50,2,82048,73013,347,400,824,813,747,1637,1171,1213
"G180","1830","Indiana","180",,"Indiana",0,0,0,0,0,0,0,2,0,1,0,0,617,544,307,240,138,11,594,573,279,215,107,4,175885,163514,0,3,1857,1772,3,3629,1857,1775
"G210","1830","Kentucky","210",,"Kentucky",31500,27449,13520,7499,2280,61,30975,27346,13854,8107,2572,50,764,584,410,484,402,8,633,505,351,398,369,9,267123,250664,82309,82904,2652,2265,165213,4917,84961,85169
"G220","1830","Louisiana","220",,"Louisianna",13627,17926,15784,8443,2089,42,13687,16613,13534,6249,1552,42,2503,2296,1208,828,384,11,2640,2727,1927,1402,755,29,49715,39516,57911,51677,7230,9480,109588,16710,65141,61157
"G230","1830","Maine","230",,"Maine",0,0,0,0,0,0,0,0,1,0,1,0,163,172,111,108,54,2,143,175,117,93,52,0,200689,197574,0,2,610,580,2,1190,610,582
"G240","1830","Maryland","240",,"Maryland",17880,17759,8846,6135,2772,50,17002,16236,8331,5329,2601,53,8309,6099,4020,4142,2287,49,7912,7313,5389,4535,2796,87,147340,143768,53442,49552,24906,28032,102994,52938,78348,77584
"G250","1830","Massachusetts","250",,"Massachusetts",0,0,0,0,0,0,0,0,0,0,0,1,806,887,718,629,314,4,812,967,815,661,396,39,294685,308674,0,1,3358,3690,1,7048,3358,3691
"G265","1830","Michigan Territory","265",,"Michigan Territory",2,7,11,1,1,0,1,3,3,3,0,0,31,43,48,29,8,0,20,36,26,16,4,0,18168,13178,22,10,159,102,32,261,181,112
"G280","1830","Mississippi","280",,"Mississippi",11037,10793,6947,3455,845,22,10860,10841,6983,3173,682,21,81,82,59,43,22,1,72,51,45,49,14,0,38466,31977,33099,32560,288,231,65659,519,33387,32791
"G290","1830","Missouri","290",,"Missouri",4872,4364,2058,923,208,14,4611,4605,2199,1014,219,4,87,76,43,57,18,3,77,62,46,63,34,3,61405,53390,12439,12652,284,285,25091,569,12723,12937
"G330","1830","New Hampshire","330",,"New Hampshire",0,0,0,0,0,0,0,0,2,1,0,0,67,78,53,44,32,1,68,97,54,63,45,2,131184,137537,0,3,275,329,3,604,275,332
"G340","1830","New Jersey","340",,"New Jersey",5,12,395,383,261,3,8,20,424,451,288,4,3033,3234,1458,1196,573,7,2811,2890,1428,1113,554,6,152529,147737,1059,1195,9501,8802,2254,18303,10560,9997
"G360","1830","New York","360",,"New York",5,6,0,1,0,1,23,12,17,3,6,1,5643,6094,4860,3492,1358,19,5509,6843,5504,3780,1714,54,951441,916620,13,62,21466,23404,75,44870,21479,23466
"G370","1830","North Carolina","370",,"North Carolina",45991,38099,20212,14030,5848,133,44847,37508,20095,13088,5636,114,3438,2955,1400,1062,685,21,3287,3118,1649,1179,720,29,235954,236889,124313,121288,9561,9982,245601,19543,133874,131270
"G390","1830","Ohio","390",,"Ohio",0,1,0,0,0,0,0,2,3,0,0,0,1562,1440,808,646,325,8,1573,1551,799,611,241,4,479713,448616,1,5,4789,4779,6,9568,4790,4784
"G420","1830","Pennsylvania","420",,"Pennsylvania",23,102,25,11,10,1,32,106,22,25,42,4,5095,5250,4069,2796,1132,35,5054,6142,4476,2742,1105,34,665812,644088,172,231,18377,19553,403,37930,18549,19784
"G440","1830","Rhode Island","440",,"Rhode Island",0,2,0,0,1,0,0,4,1,1,8,0,337,501,317,238,152,3,355,597,443,350,265,3,45333,48288,3,14,1548,2013,17,3561,1551,2027
"G450","1830","South Carolina","450",,"South Carolina",51820,44600,29710,21674,7567,98,51524,45517,32689,22006,8112,84,1314,958,622,424,335,19,1378,1175,746,545,399,6,130590,127273,155469,159932,3672,4249,315401,7921,159141,164181
"G470","1830","Tennessee","470",,"Tennessee",27713,23431,11260,6020,1729,63,26568,24145,12223,6519,1891,41,842,583,361,321,216,7,772,616,359,285,187,6,275066,260680,70216,71387,2330,2225,141603,4555,72546,73612
"G500","1830","Vermont","500",,"Vermont",0,0,0,0,0,0,0,0,0,0,0,0,121,116,78,60,48,3,121,131,73,71,57,2,139996,139775,0,0,426,455,0,881,426,455
"G510","1830","Virginia","510",,"Virginia",84000,68917,43189,30683,12155,133,83207,66921,40927,27206,12275,144,8236,6126,3546,2721,1731,27,8002,7031,4501,3379,2024,24,347887,346413,239077,230680,22387,24961,469757,47348,261464,255641
