"cty","Name","Individual_Income_Excluding_Spouse_rW_gM_p25"
"cty38053","McKenzie County, ND",59163
"cty06003","Alpine County, CA",54482
"cty02100","Haines Borough, AK",54112
"cty31009","Blaine County, NE",51434
"cty20071","Greeley County, KS",51114
"cty38011","Bowman County, ND",49965
"cty38025","Dunn County, ND",49522
"cty40025","Cimarron County, OK",49285
"cty46119","Sully County, SD",48772
"cty48505","Zapata County, TX",48723
"cty08057","Jackson County, CO",47828
"cty31117","McPherson County, NE",47444
"cty20081","Haskell County, KS",47426
"cty38061","Mountrail County, ND",46999
"cty46063","Harding County, SD",46928
"cty38013","Burke County, ND",46824
"cty48317","Martin County, TX",46774
"cty40059","Harper County, OK",46689
"cty48095","Concho County, TX",46472
"cty38087","Slope County, ND",45824
"cty48235","Irion County, TX",45759
"cty38089","Stark County, ND",45266
"cty35011","De Baca County, NM",45232
"cty72127","San Juan Municipio, PR",44863
"cty38043","Kidder County, ND",44785
"cty49031","Piute County, UT",44611
"cty38037","Grant County, ND",44540
"cty08017","Cheyenne County, CO",44524
"cty56027","Niobrara County, WY",44421
"cty40043","Dewey County, OK",44290
"cty30019","Daniels County, MT",44027
"cty48371","Pecos County, TX",43901
"cty48045","Briscoe County, TX",43782
"cty46021","Campbell County, SD",43419
"cty08049","Grand County, CO",43386
"cty32011","Eureka County, NV",43383
"cty46045","Edmunds County, SD",43325
"cty56011","Crook County, WY",43208
"cty30109","Wibaux County, MT",43141
"cty32017","Lincoln County, NV",43120
"cty38091","Steele County, ND",43086
"cty31063","Frontier County, NE",42889
"cty49017","Garfield County, UT",42653
"cty38045","LaMoure County, ND",42451
"cty38009","Bottineau County, ND",42364
"cty31087","Hitchcock County, NE",42335
"cty30091","Sheridan County, MT",42308
"cty38007","Billings County, ND",42286
"cty38083","Sheridan County, ND",42231
"cty38057","Mercer County, ND",42209
"cty38105","Williams County, ND",42111
"cty20187","Stanton County, KS",42028
"cty48461","Upton County, TX",41967
"cty38049","McHenry County, ND",41905
"cty46067","Hutchinson County, SD",41901
"cty20131","Nemaha County, KS",41761
"cty38065","Oliver County, ND",41585
"cty38041","Hettinger County, ND",41458
"cty30085","Roosevelt County, MT",41360
"cty48011","Armstrong County, TX",41302
"cty48283","La Salle County, TX",41283
"cty49037","San Juan County, UT",41275
"cty38095","Towner County, ND",41251
"cty30083","Richland County, MT",41185
"cty38075","Renville County, ND",41136
"cty49043","Summit County, UT",41094
"cty48285","Lavaca County, TX",41006
"cty48175","Goliad County, TX",40958
"cty16007","Bear Lake County, ID",40916
"cty16037","Custer County, ID",40883
"cty48033","Borden County, TX",40727
"cty08091","Ouray County, CO",40717
"cty48017","Bailey County, TX",40678
"cty38019","Cavalier County, ND",40549
"cty49013","Duchesne County, UT",40547
"cty48319","Mason County, TX",40539
"cty20083","Hodgeman County, KS",40491
"cty40007","Beaver County, OK",40398
"cty38097","Traill County, ND",40387
"cty56023","Lincoln County, WY",40352
"cty31115","Loup County, NE",40292
"cty30079","Prairie County, MT",40228
"cty48393","Roberts County, TX",40180
"cty38055","McLean County, ND",40167
"cty38063","Nelson County, ND",40153
"cty56005","Campbell County, WY",40132
"cty16071","Oneida County, ID",40083
"cty56009","Converse County, WY",40011
"cty46049","Faulk County, SD",40000
"cty53043","Lincoln County, WA",39959
"cty30095","Stillwater County, MT",39904
"cty20199","Wallace County, KS",39895
"cty31085","Hayes County, NE",39869
"cty48297","Live Oak County, TX",39825
"cty48101","Cottle County, TX",39811
"cty49047","Uintah County, UT",39807
"cty18087","LaGrange County, IN",39750
"cty48357","Ochiltree County, TX",39669
"cty38021","Dickey County, ND",39651
"cty49029","Morgan County, UT",39612
"cty48413","Schleicher County, TX",39597
"cty27051","Grant County, MN",39594
"cty02240","Southeast Fairbanks Census Area, AK",39593
"cty30075","Powder River County, MT",39588
"cty48003","Andrews County, TX",39550
"cty38067","Pembina County, ND",39546
"cty49027","Millard County, UT",39506
"cty30025","Fallon County, MT",39477
"cty16081","Teton County, ID",39416
"cty46115","Spink County, SD",39363
"cty02261","Valdez-Cordova Census Area, AK",39359
"cty31035","Clay County, NE",39351
"cty30021","Dawson County, MT",39340
"cty16029","Caribou County, ID",39304
"cty19119","Lyon County, IA",39195
"cty38029","Emmons County, ND",39120
"cty22007","Assumption Parish, LA",39116
"cty46009","Bon Homme County, SD",39046
"cty31127","Nemaha County, NE",39029
"cty38059","Morton County, ND",38977
"cty27155","Traverse County, MN",38967
"cty48495","Winkler County, TX",38966
"cty27125","Red Lake County, MN",38890
"cty30087","Rosebud County, MT",38860
"cty27011","Big Stone County, MN",38823
"cty20063","Gove County, KS",38823
"cty48057","Calhoun County, TX",38823
"cty27069","Kittson County, MN",38801
"cty27077","Lake of the Woods County, MN",38789
"cty40045","Ellis County, OK",38673
"cty31097","Johnson County, NE",38662
"cty31143","Polk County, NE",38642
"cty31135","Perkins County, NE",38600
"cty31039","Cuming County, NE",38587
"cty48163","Frio County, TX",38551
"cty56019","Johnson County, WY",38544
"cty30065","Musselshell County, MT",38373
"cty20069","Gray County, KS",38313
"cty31121","Merrick County, NE",38312
"cty46059","Hand County, SD",38264
"cty38051","McIntosh County, ND",38239
"cty30039","Granite County, MT",38209
"cty20179","Sheridan County, KS",38202
"cty48191","Hall County, TX",38180
"cty48275","Knox County, TX",38172
"cty20153","Rawlins County, KS",38149
"cty31165","Sioux County, NE",38101
"cty19109","Kossuth County, IA",38089
"cty46055","Haakon County, SD",38072
"cty48295","Lipscomb County, TX",38070
"cty31011","Boone County, NE",38036
"cty31027","Cedar County, NE",37968
"cty19167","Sioux County, IA",37949
"cty38023","Divide County, ND",37886
"cty48243","Jeff Davis County, TX",37873
"cty16063","Lincoln County, ID",37859
"cty46057","Hamlin County, SD",37810
"cty31173","Thurston County, NE",37809
"cty40053","Grant County, OK",37791
"cty46025","Clark County, SD",37789
"cty36059","Nassau County, NY",37735
"cty22085","Sabine Parish, LA",37720
"cty31149","Rock County, NE",37682
"cty38079","Rolette County, ND",37659
"cty38103","Wells County, ND",37656
"cty56015","Goshen County, WY",37648
"cty56003","Big Horn County, WY",37619
"cty51057","Essex County, VA",37580
"cty48135","Ector County, TX",37556
"cty02150","Kodiak Island Borough, AK",37553
"cty48389","Reeves County, TX",37522
"cty38001","Adams County, ND",37507
"cty27089","Marshall County, MN",37453
"cty48287","Lee County, TX",37417
"cty46073","Jerauld County, SD",37386
"cty27081","Lincoln County, MN",37382
"cty01023","Choctaw County, AL",37350
"cty22107","Tensas Parish, LA",37313
"cty48105","Crockett County, TX",37257
"cty27129","Renville County, MN",37248
"cty46003","Aurora County, SD",37245
"cty20067","Grant County, KS",37215
"cty48169","Garza County, TX",37198
"cty31113","Logan County, NE",37190
"cty22109","Terrebonne Parish, LA",37138
"cty28021","Claiborne County, MS",37094
"cty04011","Greenlee County, AZ",37048
"cty01129","Washington County, AL",37043
"cty48127","Dimmit County, TX",37036
"cty46043","Douglas County, SD",37010
"cty46023","Charles Mix County, SD",37007
"cty48255","Karnes County, TX",37006
"cty48013","Atascosa County, TX",36956
"cty32027","Pershing County, NV",36953
"cty38015","Burleigh County, ND",36928
"cty30073","Pondera County, MT",36926
"cty27107","Norman County, MN",36913
"cty40129","Roger Mills County, OK",36890
"cty22047","Iberville Parish, LA",36883
"cty48415","Scurry County, TX",36863
"cty48123","DeWitt County, TX",36863
"cty48237","Jack County, TX",36840
"cty19027","Carroll County, IA",36810
"cty30097","Sweet Grass County, MT",36799
"cty01119","Sumter County, AL",36776
"cty31123","Morrill County, NE",36770
"cty48115","Dawson County, TX",36760
"cty56041","Uinta County, WY",36759
"cty48065","Carson County, TX",36759
"cty30043","Jefferson County, MT",36756
"cty38099","Walsh County, ND",36747
"cty16031","Cassia County, ID",36747
"cty56039","Teton County, WY",36744
"cty20193","Thomas County, KS",36722
"cty38047","Logan County, ND",36722
"cty31167","Stanton County, NE",36684
"cty48369","Parmer County, TX",36678
"cty56037","Sweetwater County, WY",36665
"cty20039","Decatur County, KS",36660
"cty48447","Throckmorton County, TX",36644
